Time (ms),Conductance,X,Y,Z
44,0,180.4,-3.0,0.0
545,0,180.4,-3.0,0.0
1046,0,180.4,-3.0,0.0
1548,0,180.4,-3.0,0.0
2046,0,180.4,5.0,0.0
2546,0,180.4,5.0,0.0
3045,0,180.4,5.0,0.0
3548,0,180.4,5.0,-10.0
4048,0,180.4,5.0,-10.0
4548,0,180.4,5.0,-10.0
5048,0,180.4,5.0,-10.0
5548,0,180.4,5.0,-10.0
6045,0,180.4,5.0,-10.0
6548,0,180.4,5.0,-10.0
7048,0,180.4,5.0,-10.0
7548,0,180.4,5.0,-10.0
8049,0,180.4,5.0,0.0
8548,0,180.4,5.0,0.0
9048,0,180.4,5.0,0.0
9548,0,180.4,5.0,0.0
10044,0,180.4,5.0,0.0
10548,0,180.4,5.0,0.0
11048,0,180.4,5.0,0.0
11548,0,180.4,5.0,0.0
12048,0,180.4,5.0,0.0
12548,0,180.4,5.0,0.0
13045,0,180.4,5.0,0.0
13548,0,180.4,5.0,0.0
14048,0,180.4,5.0,0.0
14548,0,180.4,5.0,0.0
15048,0,182.4,5.0,-10.0
15544,0,182.4,5.0,-10.0
16048,0,182.4,5.0,-10.0
16548,0,182.4,5.0,-10.0
17048,0,182.4,5.0,-10.0
17548,0,182.4,5.0,-10.0
18044,0,182.4,5.0,-10.0
18548,0,182.4,5.0,-10.0
19048,0,182.4,5.0,-10.0
19548,0,182.4,5.0,0.0
20044,0,182.4,5.0,0.0
20548,0,182.4,5.0,0.0
21048,0,182.4,5.0,0.0
21548,0,182.4,5.0,0.0
22048,0,182.4,5.0,0.0
22543,0,182.4,5.0,0.0
23048,0,182.4,5.0,0.0
23546,0,182.4,5.0,0.0
24048,0,182.4,5.0,0.0
24548,0,182.4,5.0,0.0
25048,0,182.4,5.0,0.0
25548,0,182.4,5.0,0.0
26048,0,182.4,5.0,0.0
26543,0,184.4,5.0,-10.0
27047,0,184.4,5.0,-10.0
27548,0,184.4,5.0,-10.0
28048,0,184.4,5.0,-10.0
28548,0,184.4,5.0,-10.0
29046,0,184.4,5.0,-10.0
29546,0,184.4,5.0,-10.0
30046,0,184.4,5.0,-10.0
30548,0,184.4,5.0,-10.0
31048,0,184.4,5.0,0.0
31548,0,184.4,5.0,0.0
32048,0,184.4,5.0,0.0
32548,0,184.4,5.0,0.0
33048,0,184.4,5.0,0.0
33544,0,184.4,5.0,0.0
34049,0,184.4,5.0,0.0
34548,0,184.4,5.0,0.0
35048,0,184.4,5.0,0.0
35548,0,184.4,5.0,0.0
36048,0,184.4,5.0,0.0
36548,0,184.4,5.0,0.0
37048,0,184.4,5.0,0.0
37563,0,184.4,5.0,0.0
38063,0,184.4,0.0,-10.0
38563,0,184.4,0.0,-10.0
39063,0,184.4,0.0,-10.0
39563,0,184.4,0.0,-10.0
40063,0,184.4,0.0,-10.0
40563,0,184.4,0.0,-10.0
41078,0,184.4,0.0,-10.0
41578,0,184.4,0.0,-10.0
42078,0,184.4,0.0,-10.0
42578,0,184.4,0.0,0.0
43078,0,184.4,0.0,0.0
43575,0,184.4,0.0,0.0
44078,0,184.4,0.0,0.0
44578,0,184.4,0.0,0.0
45078,0,184.4,0.0,0.0
45600,0,184.4,0.0,0.0
46100,0,184.4,0.0,0.0
46599,0,184.4,0.0,0.0
47097,0,184.4,0.0,0.0
47599,0,184.4,0.0,0.0
48100,0,184.4,0.0,0.0
48600,0,184.4,0.0,0.0
49102,0,184.4,0.0,0.0
49601,0,182.4,0.0,-10.0
50101,0,182.4,0.0,-10.0
50601,0,182.4,0.0,-10.0
51101,0,182.4,0.0,-10.0
51603,0,182.4,0.0,-10.0
52099,0,182.4,0.0,-10.0
52600,0,182.4,0.0,-10.0
53099,0,182.4,0.0,-10.0
53600,0,182.4,0.0,-10.0
54101,0,182.4,0.0,0.0
54601,0,182.4,0.0,0.0
55102,0,182.4,0.0,0.0
55600,0,182.4,0.0,0.0
56103,0,182.4,0.0,0.0
56600,0,182.4,0.0,0.0
57100,0,182.4,0.0,0.0
57600,0,182.4,0.0,0.0
58101,0,182.4,0.0,0.0
58603,0,182.4,0.0,0.0
59100,0,182.4,0.0,0.0
59600,0,182.4,0.0,0.0
60101,0,182.4,0.0,0.0
60602,0,182.4,0.0,0.0
61100,0,180.4,0.0,-10.0
61599,0,180.4,0.0,-10.0
62100,0,180.4,0.0,-10.0
62599,0,180.4,0.0,-10.0
63099,0,180.4,0.0,-10.0
63599,0,180.4,0.0,-10.0
64101,0,180.4,0.0,-10.0
64601,0,180.4,0.0,-10.0
65102,0,180.4,0.0,-10.0
65602,0,180.4,0.0,0.0
66100,0,180.4,0.0,0.0
66601,0,180.4,0.0,0.0
67102,0,180.4,0.0,0.0
67599,0,180.4,0.0,0.0
68101,0,180.4,0.0,0.0
68600,0,180.4,0.0,0.0
69100,0,180.4,0.0,0.0
69602,0,180.4,0.0,0.0
70100,0,180.4,0.0,0.0
70603,0,180.4,0.0,0.0
71101,0,180.4,0.0,0.0
71601,0,180.4,0.0,0.0
72101,0,180.4,0.0,0.0
72601,0,178.4,-5.0,-10.0
73101,0,178.4,-5.0,-10.0
73602,0,178.4,-5.0,-10.0
74101,0,178.4,-5.0,-10.0
74599,0,178.4,-5.0,-10.0
75100,0,178.4,-5.0,-10.0
75600,0,178.4,-5.0,-10.0
76103,0,178.4,-5.0,-10.0
76600,0,178.4,-5.0,-10.0
77101,0,178.4,-5.0,0.0
77600,0,178.4,-5.0,0.0
78103,0,178.4,-5.0,0.0
78603,0,178.4,-5.0,0.0
79102,0,178.4,-5.0,0.0
79601,0,178.4,-5.0,0.0
80100,0,178.4,-5.0,0.0
80603,0,178.4,-5.0,0.0
81103,0,178.4,-5.0,0.0
81600,0,178.4,-5.0,0.0
82100,0,178.4,-5.0,0.0
82599,0,178.4,-5.0,0.0
83100,0,178.4,-5.0,0.0
83600,0,178.4,-5.0,0.0
84098,0,180.4,-5.0,-10.0
84599,0,180.4,-5.0,-10.0
85102,0,180.4,-5.0,-10.0
85600,0,180.4,-5.0,-10.0
86102,0,180.4,-5.0,-10.0
86600,0,180.4,-5.0,-10.0
87101,0,180.4,-5.0,-10.0
87602,0,180.4,-5.0,-10.0
88102,0,180.4,-5.0,-10.0
88603,0,180.4,-5.0,0.0
89101,0,180.4,-5.0,0.0
89601,0,180.4,-5.0,0.0
90100,0,180.4,-5.0,0.0
90600,0,180.4,-5.0,0.0
91101,0,180.4,-5.0,0.0
91600,0,180.4,-5.0,0.0
92100,0,180.4,-5.0,0.0
92602,0,180.4,-5.0,0.0
93104,0,180.4,-5.0,0.0
93601,0,180.4,-5.0,0.0
94101,0,180.4,-5.0,0.0
94601,0,180.4,-5.0,0.0
95104,0,180.4,-5.0,0.0
95601,0,182.4,-5.0,-10.0
96100,0,182.4,-5.0,-10.0
96601,0,182.4,-5.0,-10.0
97101,0,182.4,-5.0,-10.0
97600,0,182.4,-5.0,-10.0
98101,0,182.4,-5.0,-10.0
98600,0,182.4,-5.0,-10.0
99100,0,182.4,-5.0,-10.0
99601,0,182.4,-5.0,-10.0
100102,0,182.4,-5.0,0.0
100599,0,182.4,-5.0,0.0
